City,State,Shape,Duration,Summary,Posted,Date,Time
Woonsocket,RI,Circle,30,Red flashing object.,9/30/2016,9/22/2016,19:00:00
Oak Ridge,TN,Circle,7200,"Strange lights in Oak Ridge, Tennessee. ((NUFORC Note: Sighting of the star, Sirius. PD))",9/22/2016,9/21/2016,23:37:00
Wilmington,MA,Circle,5,glowing green orb of light that shot across the sky and dissapeared,9/22/2016,9/21/2016,21:50:00
Beaverton,OR,Circle,5,Bright blue ball of light! ((anonymous report)),9/22/2016,9/21/2016,18:00:00
Burnaby (Canada),BC,Circle,10,"I was shooting the cloud of sunset by using my iPhone and iPad , finally I found it in my images. And it is pretty clear, bright,, yell",9/22/2016,9/20/2016,19:09:00
Stonington,CT,Circle,1800,The object I observed was not unlike stars in the night sky in regards to appearance; it was however brighter than any star I observed.,4/28/2017,9/20/2016,1:00:00
Fairbanks,AK,Circle,69,"((HOAX??)) Bright, radiating orb above Littleton.",9/22/2016,9/18/2016,14:34:00
Bensalem,PA,Circle,60,I was walking my dog outside and noticed 2 red lights side by side that looked like red eyes and underneath the 2 red lights was a brig,9/22/2016,9/18/2016,10:00:00
Hopedale,MA,Circle,60,"Huge super bright yellow circle, (not moon.) Never seen anything so huge bright and still in sky",9/22/2016,9/18/2016,5:30:00
Bowmanville (Canada),ON,Circle,90,A bright orange light moving from South to North about the size of the moon,9/22/2016,9/16/2016,21:45:00
Stoughton,MA,Circle,120,Stationary red circle to the north. After about 1 1/2 minutes began to move rapidly in different directions and then turned white befor,9/22/2016,9/15/2016,22:53:00
Miami,FL,Circle,300,My husband and I got up to smoke. I opened the living room window and I was looking at the Orion star constellation when I noticed a di,9/15/2016,9/15/2016,2:35:00
Bradenton,FL,Circle,120,Circular red light with red orbs of light within it.,9/15/2016,9/14/2016,22:30:00
West Portsmouth,OH,Circle,3600,"Green Blue and Red circular craft over West Portsmouth, Ohio right beside cellular tower 50 to 100 yards off the ground.",9/15/2016,9/13/2016,21:00:00
Eugene,OR,Circle,120,"What at first appeared to be a satellite shoots straight towards me at high speed, then reverses direction back to where it had been.",9/15/2016,9/13/2016,20:40:00
Eugene,OR,Circle,120,"What at first appeared to be a satellite shoots straight towards me at high speed, then reverses direction back to where it had been.",9/15/2016,9/13/2016,20:40:00
Dixon,MO,Circle,180,White and red horizontal lights hovering in sky.,9/15/2016,9/13/2016,20:15:00
Emerald isl,NC,Circle,600,"To the north east i seen one orange dot split in to 2 then 3,4,5,6. Happend again.then in the south east did the same thing each lighg",9/15/2016,9/13/2016,12:43:00
Bradenton,FL,Circle,300,Orange/golden light hovered at orbital level for roughly 3 to 4 minutes. Then took off to the right very quickly then straight up.,9/15/2016,9/12/2016,5:45:00
Warren,PA,Circle,180,Bright circle shape low. Not a plane.was there for about 3 min pulled over it was gone,9/15/2016,9/11/2016,7:01:00
Albany,NY,Circle,120,"Was brillant lights and shape like cigar and disc, 3 one step for few and flew quik, the others 2 same. ((anonymous report))",9/22/2016,9/10/2016,19:00:00
Hilton Head,SC,Circle,120,I went to Savannah airport to pick up my friend for the weekend On our way home we were traveling toward hilton head island on route,9/30/2016,9/10/2016,1:00:00
Ridley Park,PA,Circle,3600,The light was a perfect circle moving in a circular pattern above the clouds.,9/15/2016,9/9/2016,23:45:00
Elko New Market,MN,Circle,14400,Ring of lights spotted over Twin Cities in Minnesota. ((NUFORC Note: We suspect advertising lights from a casino. PD)),9/30/2016,9/9/2016,23:39:00
Raleigh,NC,Circle,6,"Object was round, moving extremely fast and appeared to be on fire or reflecting surround environment (i.e sunset).",9/9/2016,9/8/2016,18:06:00
Mebane,NC,Circle,10,2 round bright white spheres together side by side appeared to be free falling at a high rate of speed that looked like the back of a t,9/9/2016,9/8/2016,17:00:00
Franklin,NC,Circle,300,"Multi-colored lights red, orange and white lights hovering in wester night sky intensely bright , no sound",9/9/2016,9/7/2016,22:41:00
Sacramento,CA,Circle,120,"Almost a yr. ago today, I was in my backyard stargazing at about 10 o'clock pm when I noticed three circular bright orange Round obj",9/8/2017,9/7/2016,22:00:00
Adrian,OR,Circle,300,Red blinking lights on the skyline at dusk.,9/15/2016,9/7/2016,20:45:00
Buford,GA,Circle,1800,It was however stationary with flashing lights of colors red green blue & white. ((NUFORC Note: Probably a star?? PD)),9/15/2016,9/7/2016,1:00:00
Winder,GA,Circle,3600,Circular UFO above a wooded area and flashing several different colors.,9/9/2016,9/7/2016,1:00:00
Winder,GA,Circle,3600,Disc shaped UFO with prismatic lights around its perimeter in sky for over an hour,9/9/2016,9/7/2016,0:00:00
Kingston,NY,Circle,1200,"Multi-colored cluster of lights hovering in western sky viewed from Kingston, NY.",9/9/2016,9/6/2016,22:00:00
Arvada,CO,Circle,600,5 circular/cylindrical flying objects flying higher than planes,9/9/2016,9/4/2016,17:45:00
Portage,WI,Circle,600,White beam of light shot up from ground to tree height forming a circle of white light in Portage Wisconsin.,9/9/2016,9/4/2016,8:45:00
Auburn,WI,Circle,300,"Bright Orange round shape, prominent,..came towrds our location, then totally clear night with stars.",9/9/2016,9/3/2016,23:45:00
San Pedro,CA,Circle,180,"Circular Flashing object in eastern sky, amber/fire orange in color. sighting lasted for aporoximately 3 minutes. Object was pulsing un",9/9/2016,9/3/2016,20:50:00
High Ridge,MO,Circle,180,"Noticed 2 reddish-orange circles moving low in the sky. Too close to each other to be planes, silent. Seemed to flicker a bit (noticed",9/9/2016,9/3/2016,20:30:00
Bainbridge Island,WA,Circle,600,Late afternoon sighting of four objects over Seattle seen from Bainbridge.,9/9/2016,9/3/2016,18:00:00
Pensacola,FL,Circle,3600,Eight round lights over Pensacola for one hour.,9/9/2016,9/3/2016,4:45:00
Hedgesville,WV,Circle,216000,White shaped craft.,9/9/2016,9/3/2016,1:00:00
Lake Orion,MI,Circle,1200,"Circular object flashing red and green, mimicking a star. ((NUFORC Note: Possible ""twinkling"" star?? PD))",9/9/2016,9/3/2016,0:00:00
Knoxville,TN,Circle,25,"huge yellow/orange bright light immobile for 20 seconds, reversed and sped forward behind our house, made absoultly no sound and trave",9/9/2016,9/2/2016,21:00:00
Corte Madera,CA,Circle,3600,Stationary yellow gold lights seen during extended long sighting,9/15/2016,8/31/2016,22:00:00
Utica,NY,Circle,6,I saw a dark silver circle shaped UFO for like 6 seconds flying very slow.,9/2/2016,8/30/2016,11:30:00
New York,NY,Circle,4,Looking up to the sky thought it was a shooting star; realized it was a very intense white light circle in shape.((anonymous report)),9/2/2016,8/30/2016,2:45:00
Surf City,NC,Circle,30,Orange pulsating orb above beach.,9/22/2016,8/29/2016,20:26:00
Pomona,NY,Circle,600,We saw 3 objects in the sky 2 moving horizontally and one falling at an angle vertically.,9/2/2016,8/29/2016,19:00:00
Petaluma,CA,Circle,3600,"UFO over Petaluma on August 28, 2016, @ approximately 7:30 pm..",9/2/2016,8/28/2016,19:30:00
Pottstown,PA,Circle,10,Metallic circle craft seen in sky.,9/2/2016,8/28/2016,18:00:00
Spencerport,NY,Circle,480,"Three Flaming Balls Over Spencerport, NY",8/29/2016,8/27/2016,21:25:00
Astoria,OR,Circle,3,Large yellow orb crossed the sky twice heading east.,8/29/2016,8/25/2016,23:00:00
Rantoul,IL,Circle,1800,Ufo maybe?,8/29/2016,8/24/2016,20:30:00
Lakeland,FL,Circle,240,"Driving E. In the SE direction, I notice a bright white light that isn't moving.",8/25/2016,8/24/2016,16:00:00
Rutland (near; Griffith Lake),VT,Circle,6,Bright flash of circler light over Green Mt..,8/29/2016,8/23/2016,23:00:00
Westwood,MA,Circle,10,"Bright circle light being, followed by two helicopters. ((anonymous report)).",8/25/2016,8/22/2016,21:50:00
Oak Grove,MO,Circle,5,Looked up and saw a yellow/orange stationary light that was brighter than a shooting star slowly get brighter over about two seconds.,8/25/2016,8/22/2016,21:00:00
Gillette,WY,Circle,120,Was driving mid morning and saw 6 spheres flying together and moving around each other. They were shiny and silver looking.,8/25/2016,8/21/2016,10:58:00
San Diego (North County),CA,Circle,300,"My wife and I both saw three orange lights in the sky, moving in different directions, and making no sound.",8/25/2016,8/20/2016,22:50:00
Curtis Bau,MD,Circle,180,Two orange objects over Baltimore.,8/25/2016,8/19/2016,21:45:00
Kokomo,IN,Circle,240,8-10 glowing orange red-ish orbs passing by as if migrating.,12/5/2016,8/19/2016,18:56:00
Lake Wales,FL,Circle,240,firey round object approached us and stop changing direction and color with no noise.,8/25/2016,8/18/2016,23:55:00
Maricopa,AZ,Circle,240,Bright flashing light zig zagging across the sky. ((anonymous report)),8/19/2016,8/18/2016,20:37:00
Kemp,TX,Circle,172800,Color changing light in the sky. ((NUFORC Note: Possible twinkling star?? PD)),9/22/2016,8/18/2016,0:00:00
