,City,State,Shape,Duration,Summary,Posted,Date,Time,region_cat,time_cat
2214,Largo,FL,Circle,180,"Bright orange circular craft, silent and fast.",1/10/2014,2013-12-31,23:22:00,south,evening
2215,Corvallis,OR,Circle,60,2 amber lights dimming as ascending into sky. Moving then stopping.,1/10/2014,2013-12-31,23:10:00,west,evening
2216,Lakeland,FL,Circle,600,5 orange globes moving in sync...no sound.,7/20/2014,2013-12-31,23:00:00,south,evening
2217,Magna,UT,Circle,2700,"Amber light, moving in wierd ways.",1/30/2014,2013-12-31,22:15:00,west,evening
2219,Fort Lauderdale,FL,Circle,180,"Strange reddish sphere w/bright yellow lights in center moving slowly, then hovering, then moving west again.",1/10/2014,2013-12-31,21:00:00,south,evening
2220,Wilmington,NC,Circle,30,Unknown light.,1/10/2014,2013-12-31,21:00:00,south,evening
2221,Bossier City,LA,Circle,300,Bright white light traveling fast.,1/10/2014,2013-12-31,20:51:00,south,evening
2222,Albany,OR,Circle,900,New Years Eve 2013 sighting of four orange lights in Albany Oregon.,1/10/2014,2013-12-31,20:30:00,west,evening
2223,Fallbrook,CA,Circle,180,"Intense slow moving white light, size of medicine ball: no noise, no trail.",1/10/2014,2013-12-31,20:00:00,west,evening
2224,Auburn,CA,Circle,180,"Illuminated large spher object, completely silent, sighted over Auburn, CA December 31, 7:58pm. Not fireworks..and we don't drink!",1/10/2014,2013-12-31,19:58:00,west,evening
2225,Las Vegas,NV,Circle,120,4 red/Orange balls in a kite tail formation over the road.,1/24/2014,2013-12-31,0:15:00,west,night
2226,San Diego,CA,Circle,300,"My son, his friends, and I saw three bright lights hovering in the sky which then came together to form a triangular shape.",1/10/2014,2013-12-30,19:00:00,west,evening
2227,Plain,WA,Circle,360,"Bright Orange Circular discs - 6 to 8 appearing and disappearing-very random North Cascades, WA.",1/10/2014,2013-12-29,23:45:00,west,evening
2228,Naples,FL,Circle,30,"Glowing orange light silently moving across sky in naples Florida 22:30 December 29, 2013.",1/10/2014,2013-12-29,22:30:00,south,evening
2229,Jeffersonville,IN,Circle,600,"Seven silent round orange flying objects watched and observed in Jeffersonville, Indiana.",1/10/2014,2013-12-29,20:00:00,midwest,evening
2230,Greeley,CO,Circle,180,"While driving west on highway 34 business at about 65 Ave., we saw two identical lights flying together. They crossed our path in fro",1/10/2014,2013-12-29,19:15:00,west,evening
2231,Omaha,NE,Circle,300,Bright light traveling southeast over downtown Omaha. Thought maybe it was a Chinese lantern but it stopped and reversed course.,1/10/2014,2013-12-29,18:20:00,midwest,evening
2232,East Haddam,CT,Circle,600,White circular objects for 10 minutes.,1/10/2014,2013-12-28,23:00:00,northeast,evening
2233,Lancaster,PA,Circle,7200,Several orange/red glowing objects were in the sky.,1/10/2014,2013-12-28,23:00:00,northeast,evening
2234,Studio City,CA,Circle,60,Two red circles in Studio City.,1/10/2014,2013-12-28,20:00:00,west,evening
2235,Grosse Pointe Park,MI,Circle,300,"Orange colored circular objects flying in a line in Grosse Pointe, Michigan.",1/10/2014,2013-12-28,11:30:00,midwest,morning
2236,Glen Burnie,MD,Circle,180,"I saw a round, orb-shaped object last night. It was dark, with stars out last night, clear sky. It had a lot of red flashing lights.",1/10/2014,2013-12-26,23:00:00,south,evening
2237,Boynton Beach,FL,Circle,90,While walking Westbound I saw a large bright orange round object at roof top level moving upward at about a 60° angel in a south by sou,1/10/2014,2013-12-26,22:15:00,south,evening
2238,Kearns,UT,Circle,120,Two circular objects red/orange above SLC moving north bound 9:25pm thursday 12-26-13.,1/10/2014,2013-12-26,21:25:00,west,evening
2239,Alpharetta,GA,Circle,1200,Four orange circular objects with triangle and lights at the top.,1/10/2014,2013-12-26,18:00:00,south,evening
2240,St. Louis,MO,Circle,15,"Let my dog outside, when trying to get dog back inside Green object with blinking green light and white lite did nose dive and then van",1/10/2014,2013-12-26,4:30:00,midwest,night
2241,Bartow County (Hwy 20; near Wilderness Camp Rd.),GA,Circle,60,Ultra bright bluish circle hovered then shot to the ground on north side of Lake Allatoona.,1/10/2014,2013-12-26,3:00:00,south,night
2242,Bear,DE,Circle,300,Orange light somewhat bright. Moing slower than airplane two together went backin house to check on I pone app. Not a planet or star .,1/10/2014,2013-12-25,7:55:00,south,morning
2243,Apple Valley,MN,Circle,30,4 flying orange bright ball shape objects that I filmed at night. I have never seen anything like it before.,1/10/2014,2013-12-25,0:00:00,midwest,night
2244,San Diego,CA,Circle,1200,"Slow low movng then rise, hover. south west sky over ocean.",1/10/2014,2013-12-24,23:40:00,west,evening
2245,Covington,LA,Circle,600,Low flying bright orange circular appearing objects in the sky.,1/10/2014,2013-12-24,22:30:00,south,evening
2246,Jacksonville,FL,Circle,90,Bright red flashing moving slow from NNW to the SSE,1/10/2014,2013-12-24,22:15:00,south,evening
2247,Post Falls,ID,Circle,600,"3 orange balls moving silently across the sky, and changing direction.",1/10/2014,2013-12-24,22:00:00,west,evening
2248,Rutland,MA,Circle,600,Unexplained saucerlike aircrafts in Massachusetts,1/10/2014,2013-12-24,21:15:00,northeast,evening
2249,Pullman,WA,Circle,300,Orange orb.,1/10/2014,2013-12-24,20:15:00,west,evening
2250,Boise,ID,Circle,600,"4, red, orenge, lights, in, the, sky.",1/10/2014,2013-12-24,19:45:00,west,evening
2251,Caldwell,ID,Circle,600,9 orange lights hovering Northwest of Caldwell,1/10/2014,2013-12-24,19:00:00,west,evening
2252,Bethel Park,PA,Circle,180,"5 Red pulsating lights in the sky over Bethel Park, PA on Christmas Eve 2013.",1/10/2014,2013-12-24,19:00:00,northeast,evening
2253,Norwalk,CT,Circle,10800,We were driving home and out of the corner of my eye i spot 3 circular lights moving in strange patterns. 2 more flew up in the same st,1/10/2014,2013-12-24,7:45:00,northeast,morning
2256,Orange,CA,Circle,30,Orange light pulses then disappears.,1/10/2014,2013-12-23,19:30:00,west,evening
2257,Cape Coral,FL,Circle,3600,"White orange circle. ((NUFORC Note: Possible contrails, reflecting rising sun?? PD))",1/10/2014,2013-12-23,7:00:00,south,morning
2258,Sparks,NV,Circle,3,"On a crystal clear winter night, I watched a bright blue ball descend at about a 35-degree angle west of our house.",12/23/2013,2013-12-21,20:50:00,west,evening
